#   N_BLOCK:  ACCEPTANCE:
           1    0.385604
           2     0.38631
           3      0.3866
           4     0.38635
           5    0.386686
           6    0.386877
           7    0.386996
           8    0.387063
           9     0.38719
          10    0.386921
          11    0.387057
          12    0.387037
          13    0.387041
          14    0.387115
          15    0.387215
          16    0.387228
          17    0.387192
          18     0.38707
          19     0.38703
          20      0.3871
