#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.93925     2.93925           0
           2     2.95918     2.94921  0.00704783
           3     2.92102     2.93981  0.00899807
           4     2.95029     2.94243  0.00711958
           5     2.85311     2.92457   0.0169637
           6     3.00234     2.93753    0.018435
           7     2.91641     2.93451   0.0160464
           8     2.99152     2.94164   0.0155427
           9     2.87906     2.93469    0.015292
          10     2.92496     2.93371   0.0137937
          11     2.93037     2.93341   0.0125431
          12     2.93323     2.93339   0.0114978
          13     2.99067      2.9378   0.0114264
          14     2.86218      2.9324   0.0118181
          15     2.83199      2.9257   0.0127861
          16     2.88746     2.92331   0.0122084
          17     2.94014      2.9243   0.0115303
          18     3.01187     2.92917   0.0118717
          19     2.94954     2.93024   0.0112951
          20     2.84927     2.92619   0.0114329
