#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.048874    0.048874           0
           2    0.035408    0.042141  0.00476095
           3    0.046628   0.0436367   0.0034008
           4    0.059412   0.0475805  0.00426273
           5    0.055918    0.049248  0.00372207
           6    0.060634   0.0511457   0.0035527
           7    0.049082   0.0508509  0.00305738
           8     0.04474    0.050087  0.00276898
           9    0.058606   0.0510336  0.00261811
          10    0.047344   0.0506646  0.00238215
          11    0.060752   0.0515816  0.00233545
          12    0.049596   0.0514162  0.00214668
          13    0.056072   0.0517743   0.0020112
          14    0.054586   0.0519751  0.00187755
          15    0.054226   0.0521252  0.00175836
          16    0.062452   0.0527706  0.00176295
          17    0.055714   0.0529438  0.00166772
          18     0.05062   0.0528147  0.00158006
          19    0.059834   0.0531841  0.00153948
          20    0.055414   0.0532956  0.00146654
