#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.35835     2.35835           0
           2     2.33818     2.34826   0.0071322
           3     2.34449       2.347  0.00486449
           4     2.35425     2.34881  0.00397118
           5     2.37995     2.35504  0.00641135
           6     2.35056     2.35429  0.00538606
           7     2.36645     2.35603   0.0048885
           8     2.28565     2.34723  0.00927479
           9     2.27963     2.33972   0.0108686
          10     2.43803     2.34955   0.0135154
          11     2.33591     2.34831   0.0123435
          12     2.31672     2.34568   0.0115922
          13     2.34974     2.34599   0.0107047
          14     2.38803     2.34899   0.0103526
          15     2.31557     2.34677  0.00989933
          16     2.34499     2.34666  0.00928125
          17     2.32789     2.34555  0.00880067
          18     2.36489     2.34663  0.00837709
          19     2.37842      2.3483  0.00810163
          20     2.41477     2.35162  0.00835055
