#   N_BLOCK:  ACCEPTANCE:
           1    0.424794
           2    0.426771
           3    0.427303
           4    0.426804
           5    0.426763
           6     0.42704
           7    0.426828
           8    0.426889
           9    0.426876
          10    0.426675
          11    0.426718
          12    0.426738
          13    0.426807
          14    0.426801
          15    0.426815
          16    0.426744
          17    0.426709
          18    0.426594
          19    0.426512
          20    0.426609
