#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.03722     2.03722           0
           2     2.03735     2.03729 4.54263e-05
           3     2.01661      2.0304   0.0056278
           4     2.02401      2.0288  0.00444171
           5     2.05246     2.03353  0.00552588
           6     1.98981     2.02624  0.00809072
           7     2.09977     2.03675   0.0119439
           8     2.02448     2.03521   0.0105489
           9      2.0637     2.03838   0.0098403
          10     2.04806     2.03935  0.00890376
          11     2.02525     2.03806  0.00818607
          12     2.03881     2.03813  0.00750413
          13      1.9773     2.03345  0.00825787
          14     1.97883     2.02955     0.00854
          15     2.04339     2.03047  0.00802036
          16     2.00309     2.02876  0.00769945
          17     2.03463      2.0291   0.0072543
          18     2.03698     2.02954  0.00686446
          19     1.97647     2.02675  0.00704857
          20     2.02527     2.02667  0.00669653
