#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.267795    0.267795           0
           2    0.261028    0.264411   0.0023925
           3    0.261952    0.263591  0.00172975
           4    0.256109    0.261721  0.00207541
           5    0.254451    0.260267  0.00210903
           6    0.256472    0.259634   0.0018499
           7    0.262371    0.260025  0.00162642
           8    0.266736    0.260864  0.00162508
           9    0.264554    0.261274  0.00149532
          10    0.259156    0.261062  0.00136071
          11     0.26025    0.260988  0.00123901
          12    0.259433    0.260859  0.00114252
          13    0.259066    0.260721  0.00106292
          14    0.258759    0.260581 0.000996193
          15    0.257834    0.260398 0.000946456
          16    0.260385    0.260397 0.000887303
          17    0.257198    0.260209 0.000854828
          18    0.260456    0.260223 0.000807448
          19    0.255842    0.259992 0.000797182
          20    0.258372    0.259911 0.000761428
