#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      19.924      19.924           0
           2      19.783     19.8535   0.0498614
           3     18.7951     19.5007    0.289975
           4     19.7516     19.5634    0.224162
           5     18.9432     19.4394    0.210878
           6     20.9568     19.6923    0.290136
           7     17.4742     19.3754    0.384583
           8     18.8549     19.3104    0.341968
           9     22.0315     19.6127    0.416724
          10      17.614     19.4128    0.420256
          11     19.7165     19.4404    0.382957
          12      16.667     19.2093    0.414966
          13     20.3387     19.2962    0.392033
          14     16.8423     19.1209    0.401307
          15     18.1927      19.059    0.379294
          16     20.0382     19.1202    0.360492
          17     22.0353     19.2917    0.377874
          18     17.8032      19.209    0.365818
          19     19.1781     19.2074    0.346568
          20     18.7851     19.1863    0.329882
