#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.107586    0.107586           0
           2    0.108646    0.108116 0.000374767
           3    0.093578     0.10327  0.00396462
           4    0.074304   0.0960285  0.00694053
           5    0.077344   0.0922916  0.00648082
           6    0.082166    0.090604  0.00561611
           7    0.088852   0.0903537  0.00481938
           8     0.10926    0.092717  0.00476127
           9    0.093254   0.0927767  0.00423262
          10    0.083796   0.0918786  0.00390347
          11     0.08863   0.0915833  0.00355976
          12    0.097732   0.0920957  0.00329978
          13    0.090082   0.0919408  0.00304959
          14     0.10174   0.0926407  0.00291098
          15    0.079574   0.0917696  0.00284427
          16    0.090198   0.0916714   0.0026682
          17    0.092692   0.0917314  0.00251192
          18    0.077212   0.0909248  0.00249853
          19    0.083986   0.0905596  0.00239357
          20    0.088484   0.0904558  0.00227614
