#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.34184     4.34184           0
           2     4.57558     4.45871   0.0826372
           3     4.64941     4.52228   0.0756888
           4      4.4312     4.49951   0.0600935
           5     4.36454     4.47251   0.0537972
           6     4.35744     4.45333   0.0481284
           7     4.47408      4.4563   0.0413441
           8      4.3642     4.44479    0.037745
           9     4.37465     4.43699   0.0343461
          10     4.19348     4.41264   0.0385903
          11     4.28245     4.40081   0.0368524
          12     4.27884     4.39064   0.0351549
          13     4.22286     4.37774   0.0347392
          14     4.35306     4.37597   0.0323025
          15     4.36014     4.37492   0.0301662
          16      4.5323     4.38475   0.0298415
          17      4.5857     4.39657   0.0303368
          18     4.49741     4.40218   0.0291641
          19       4.604      4.4128   0.0295002
          20     4.17569     4.40094   0.0303139
