#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.038652    0.038652           0
           2     0.04193    0.040291  0.00115895
           3    0.036978   0.0391867  0.00118743
           4    0.039784    0.039336 0.000899915
           5    0.036046    0.038678 0.000929878
           6    0.024624   0.0363357  0.00227433
           7     0.03421    0.036032  0.00196959
           8     0.03915   0.0364218  0.00176153
           9     0.04603   0.0374893  0.00186141
          10    0.035504   0.0372908  0.00168582
          11    0.033434   0.0369402  0.00156861
          12    0.035326   0.0368057  0.00144364
          13    0.038898   0.0369666  0.00134154
          14    0.038256   0.0370587  0.00124887
          15      0.0354   0.0369481   0.0011705
          16    0.042666   0.0373055   0.0011506
          17    0.038146   0.0373549  0.00108398
          18    0.036282   0.0372953   0.0010254
          19     0.03327   0.0370835 0.000993075
          20    0.031972   0.0368279 0.000975754
