#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.48349     2.48349           0
           2     2.47438     2.47893  0.00321969
           3     2.44956     2.46914   0.0082779
           4      2.5415     2.48723   0.0168508
           5     2.55976     2.50174   0.0187102
           6     2.49622     2.50082   0.0156144
           7     2.65759     2.52321   0.0246788
           8     2.56898     2.52894   0.0222472
           9     2.50765     2.52657   0.0199007
          10     2.47763     2.52168   0.0185025
          11     2.51025     2.52064   0.0168496
          12     2.47035     2.51645   0.0159581
          13     2.34027     2.50289   0.0196601
          14     2.44657     2.49887   0.0186629
          15     2.53887     2.50154   0.0176082
          16     2.48445     2.50047   0.0165401
          17     2.53216     2.50233   0.0156718
          18     2.54791     2.50487   0.0150043
          19     2.37097     2.49782    0.015783
          20     2.46894     2.49638   0.0150598
