#   N_BLOCK:  ACCEPTANCE:
           1   0.0133962
           2   0.0137727
           3   0.0153561
           4   0.0145037
           5   0.0152982
           6   0.0146909
           7   0.0149855
           8   0.0152383
           9   0.0149499
          10   0.0147956
          11   0.0147578
          12   0.0146143
          13   0.0147034
          14   0.0145449
          15   0.0144935
          16   0.0142557
          17   0.0141188
          18   0.0141558
          19   0.0138978
          20    0.013926
