#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     77.3515     77.3515           0
           2     79.1666     78.2591    0.641762
           3     74.1584     76.8922     1.19525
           4     77.8267     77.1258    0.918987
           5     77.2543     77.1515    0.735549
           6     79.6282     77.5643    0.719518
           7     73.6477     77.0048    0.805408
           8     79.7422     77.3469    0.774014
           9     80.0319     77.6453    0.743286
          10     85.4026      78.421    0.994528
          11     83.3859     78.8724     1.00131
          12      78.178     78.8145     0.91954
          13     78.3391     78.7779    0.849533
          14     74.5849     78.4784    0.839989
          15     83.9886     78.8458    0.860572
          16     83.8192     79.1566    0.861097
          17     84.0129     79.4423    0.856517
          18     72.8948     79.0785      0.8828
          19     80.4617     79.1513    0.839333
          20     76.6277     79.0251    0.806796
