#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.331829    0.331829           0
           2    0.327218    0.329524  0.00162995
           3    0.328442    0.329163  0.00112577
           4    0.324602    0.328023  0.00129923
           5    0.325531    0.327525   0.0011309
           6    0.332075    0.328283  0.00116939
           7    0.325931    0.327947  0.00104949
           8    0.339519    0.329393  0.00163522
           9    0.330163    0.329479  0.00145577
          10     0.32862    0.329393  0.00131272
          11    0.333456    0.329763  0.00124427
          12    0.315951    0.328612  0.00158594
          13    0.328483    0.328602  0.00146397
          14    0.332743    0.328898  0.00138898
          15    0.330007    0.328971  0.00129834
          16    0.333094    0.329229   0.0012425
          17     0.33055    0.329307  0.00117184
          18     0.32934    0.329309  0.00110674
          19    0.328855    0.329285  0.00104875
          20    0.326042    0.329123  0.00100877
