#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.631152   -0.631152           0
           2   -0.628976   -0.630064 0.000769332
           3    -0.63134   -0.630489 0.000619403
           4     -0.6315   -0.630742 0.000513507
           5   -0.631348   -0.630863 0.000424868
           6   -0.629348   -0.630611 0.000422493
           7    -0.63164   -0.630758 0.000386881
           8   -0.629316   -0.630578 0.000378172
           9   -0.626924   -0.630172 0.000509391
          10   -0.629176   -0.630072  0.00046808
          11   -0.631624   -0.630213 0.000446285
          12   -0.630616   -0.630247 0.000410355
          13    -0.63024   -0.630246  0.00037879
          14   -0.625244   -0.629889 0.000492198
          15   -0.628432   -0.629792 0.000468869
          16     -0.6313   -0.629886 0.000448941
          17   -0.630296    -0.62991  0.00042318
          18    -0.62966   -0.629896 0.000399898
          19   -0.631432   -0.629977 0.000386934
          20   -0.627004   -0.629828 0.000395111
