#   N_BLOCK:  ACCEPTANCE:
           1    0.526935
           2    0.527487
           3    0.527988
           4    0.527882
           5    0.527765
           6    0.527916
           7    0.527807
           8    0.527684
           9    0.527724
          10    0.527788
          11    0.527795
          12    0.527694
          13    0.527674
          14     0.52773
          15    0.527851
          16    0.527755
          17    0.527768
          18    0.527822
          19     0.52777
          20    0.527761
