#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.202128    0.202128           0
           2    0.197282    0.199705  0.00171355
           3    0.196196    0.198535  0.00148892
           4    0.196512     0.19803  0.00119956
           5     0.19697    0.197818 0.000978186
           6    0.194884    0.197329 0.000929357
           7    0.197956    0.197418 0.000800907
           8    0.198765    0.197587 0.000718273
           9    0.197825    0.197613 0.000638954
          10    0.194041    0.197256 0.000667505
          11    0.194795    0.197032 0.000643221
          12    0.196554    0.196992 0.000590855
          13    0.197413    0.197025  0.00054629
          14    0.197119    0.197031  0.00050731
          15    0.197112    0.197037 0.000473518
          16    0.197694    0.197078   0.0004457
          17    0.193776    0.196884 0.000459867
          18     0.19694    0.196887  0.00043433
          19    0.196208    0.196851 0.000412935
          20    0.197678    0.196892 0.000394354
