#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.026692    0.026692           0
           2    0.027882    0.027287 0.000420729
           3    0.019474   0.0246827  0.00214485
           4     0.02867   0.0256795  0.00182564
           5    0.035138   0.0275712  0.00223516
           6    0.033704   0.0285933  0.00208327
           7    0.029736   0.0287566  0.00179205
           8    0.024268   0.0281955  0.00165354
           9     0.03333    0.028766  0.00156514
          10    0.023074   0.0281968  0.00150858
          11    0.025486   0.0279504  0.00139142
          12    0.023654   0.0275923  0.00132073
          13    0.028544   0.0276655  0.00122116
          14    0.029678   0.0278093  0.00114236
          15    0.025806   0.0276757  0.00107399
          16    0.026412   0.0275968  0.00100976
          17    0.032512   0.0278859 0.000990894
          18    0.025172   0.0277351 0.000947245
          19    0.034926   0.0281136 0.000970056
          20    0.025414   0.0279786 0.000930896
