#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37914     1.37914           0
           2     1.32389     1.35151   0.0195331
           3     1.34333     1.34878   0.0132112
           4     1.36026     1.35165   0.0102152
           5     1.34831     1.35098  0.00819404
           6     1.31676     1.34528  0.00858677
           7     1.40845      1.3543   0.0111344
           8     1.35328     1.35418  0.00974331
           9     1.34318     1.35295  0.00873701
          10     1.36063     1.35372  0.00789692
          11     1.37101     1.35529  0.00733373
          12     1.36869     1.35641  0.00680706
          13     1.37483     1.35783  0.00642919
          14     1.35059     1.35731  0.00599073
          15     1.32876     1.35541  0.00588584
          16     1.37943     1.35691  0.00570635
          17     1.37514     1.35798  0.00547058
          18     1.36071     1.35813  0.00516876
          19     1.35948      1.3582   0.0048972
          20     1.38992     1.35979  0.00490236
