#   N_BLOCK:  ACCEPTANCE:
           1    0.533284
           2     0.53413
           3    0.534031
           4    0.533924
           5    0.533927
           6    0.533835
           7      0.5337
           8    0.533715
           9    0.533606
          10    0.533712
          11    0.533628
          12    0.533542
          13    0.533521
          14    0.533586
          15    0.533594
          16     0.53358
          17    0.533566
          18    0.533554
          19    0.533458
          20    0.533463
