#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.22903     0.22903           0
           2    0.223415    0.226223   0.0019851
           3    0.220542    0.224329  0.00203523
           4    0.217643    0.222658  0.00210369
           5    0.215826    0.221291   0.0020798
           6    0.222872    0.221555  0.00174978
           7    0.220365    0.221385  0.00150804
           8    0.225618    0.221914   0.0014093
           9    0.222468    0.221975  0.00125406
          10    0.224142    0.222192  0.00114721
          11    0.218773    0.221881  0.00108422
          12    0.221304    0.221833 0.000994935
          13    0.222416    0.221878 0.000919413
          14    0.216619    0.221502 0.000927296
          15    0.223845    0.221659 0.000878531
          16    0.220508    0.221587 0.000826559
          17    0.219992    0.221493 0.000783243
          18    0.224228    0.221645 0.000754322
          19    0.222164    0.221672 0.000715115
          20    0.217741    0.221476 0.000705861
