       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           2     1.78265     0.82995    0.832854   0.0020534
           2      1.8083    0.873127     0.88715  0.00991569
           2     1.83395    0.938995    0.942682  0.00260748
           2      1.8596    0.966526    0.971678  0.00364327
           2     1.88525     1.02237     1.01215  0.00722535
           2      1.9109     1.06729     1.05561  0.00825788
           2     1.93655     1.10058     1.09397  0.00467838
           2      1.9622     1.12654     1.11779  0.00618969
           2     1.98785     1.15844     1.15042  0.00566988
           2      2.0135     1.18234     1.18257 0.000164087
           2     2.03915     1.21214     1.21666  0.00319603
           2      2.0648     1.22845     1.22504   0.0024108
           2     2.09045     1.23663     1.23745 0.000579866
           2      2.1161      1.2193     1.22174   0.0017283
           2     2.14174     1.21968     1.21046  0.00652277
           2     2.16739     1.20577     1.19184  0.00985015
           2     2.19304     1.16217     1.16409  0.00136207
           2     2.21869     1.14197     1.13026  0.00828064
           2     2.24434     1.11013     1.09988  0.00725165
           2     2.26999     1.08517     1.07391  0.00795791
           2     2.29564     1.04249     1.04368 0.000841223
           2     2.32129     1.02618     1.02097  0.00368582
           2     2.34694    0.983538    0.979474  0.00287368
           2     2.37259    0.961209    0.958943  0.00160215
           2     2.39824    0.954299     0.94604  0.00583962
           2     2.42389    0.919817    0.920503  0.00048489
           2     2.44954    0.896432    0.903761  0.00518204
           2     2.47519    0.895289    0.898007  0.00192216
           2     2.50084    0.877508    0.885302  0.00551158
           2     2.52649    0.866453    0.877693  0.00794841
           2     2.55214    0.868819    0.881955  0.00928871
           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
