#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.390732   -0.403251  0.00449514
         153   -0.389041   -0.403158  0.00446672
         154   -0.420677   -0.403272  0.00443917
         155   -0.422961   -0.403399  0.00441234
         156   -0.425267   -0.403539  0.00438629
         157   -0.424818   -0.403675  0.00436044
         158   -0.428607   -0.403832   0.0043357
         159    -0.42053   -0.403937   0.0043097
         160   -0.436674   -0.404142  0.00428762
         161   -0.410262    -0.40418  0.00426116
         162   -0.396229   -0.404131  0.00423514
         163   -0.372618   -0.403938  0.00421356
         164   -0.394882   -0.403882  0.00418823
         165   -0.389494   -0.403795  0.00416376
         166   -0.401946   -0.403784  0.00413869
         167     -0.3809   -0.403647  0.00411618
         168   -0.384331   -0.403532  0.00409328
         169   -0.415913   -0.403605  0.00406971
         170   -0.420378   -0.403704  0.00404697
         171   -0.416565   -0.403779    0.004024
         172   -0.435301   -0.403962  0.00400478
         173   -0.425846   -0.404089  0.00398363
         174   -0.422065   -0.404192  0.00396207
         175   -0.394767   -0.404138   0.0039398
         176   -0.387716   -0.404045  0.00391852
         177   -0.385518    -0.40394  0.00389778
         178   -0.375927   -0.403783  0.00387905
         179   -0.380673   -0.403654  0.00385953
         180   -0.345012   -0.403328  0.00385182
         181    -0.36739    -0.40313  0.00383565
         182   -0.408636    -0.40316  0.00381469
         183   -0.413896   -0.403219   0.0037943
         184   -0.414672   -0.403281  0.00377419
         185   -0.408205   -0.403307  0.00375388
         186   -0.395577   -0.403266  0.00373393
         187   -0.383399    -0.40316  0.00371547
         188   -0.359669   -0.402928   0.0037029
         189    -0.34903   -0.402643  0.00369428
         190   -0.342225   -0.402325  0.00368849
         191   -0.354817   -0.402076  0.00367756
         192   -0.367168   -0.401895   0.0036629
         193   -0.380307   -0.401783  0.00364563
         194   -0.370762   -0.401623  0.00363034
         195   -0.366004    -0.40144  0.00361631
         196   -0.381256   -0.401337  0.00359933
         197   -0.409554   -0.401379   0.0035813
         198    -0.40498   -0.401397  0.00356326
         199     -0.4169   -0.401475  0.00354621
         200   -0.420103   -0.401568   0.0035297
         201   -0.439181   -0.401755  0.00351709
         202   -0.430741   -0.401899  0.00350261
         203   -0.445837   -0.402115  0.00349203
         204   -0.440556   -0.402304     0.00348
         205   -0.393197   -0.402259  0.00346331
         206   -0.339248   -0.401953  0.00345997
         207   -0.337345   -0.401641  0.00345731
         208    -0.39127   -0.401591  0.00344105
