#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.98084     2.00028  0.00409525
         169     2.01286     2.00036  0.00407169
         170     2.01706     2.00046  0.00404893
         171     2.01335     2.00053  0.00402595
         172     2.03217     2.00072  0.00400674
         173     2.02265     2.00084  0.00398559
         174      2.0189     2.00095  0.00396403
         175      1.9916     2.00089  0.00394174
         176     1.98462      2.0008  0.00392043
         177     1.98223      2.0007  0.00389968
         178     1.97276     2.00054  0.00388093
         179     1.97766     2.00041  0.00386135
         180     1.94186     2.00009  0.00385358
         181     1.96389     1.99989  0.00383747
         182     2.00543     1.99992  0.00381651
         183     2.01062     1.99998   0.0037961
         184     2.01142     2.00004  0.00377598
         185     2.00513     2.00006  0.00375567
         186     1.99242     2.00002   0.0037357
         187     1.98036     1.99992   0.0037172
         188     1.95646     1.99969  0.00370461
         189     1.94587      1.9994  0.00369594
         190     1.93881     1.99908  0.00369022
         191     1.95157     1.99884  0.00367927
         192     1.96408     1.99865  0.00366456
         193     1.97706     1.99854  0.00364728
         194     1.96774     1.99838  0.00363193
         195     1.96282      1.9982  0.00361788
         196     1.97794      1.9981   0.0036009
         197     2.00639     1.99814  0.00358287
         198     2.00171     1.99816  0.00356482
         199     2.01362     1.99824  0.00354775
         200     2.01702     1.99833  0.00353126
         201     2.03588     1.99852  0.00351863
         202      2.0274     1.99866  0.00350411
         203      2.0427     1.99888  0.00349356
         204     2.03748     1.99907  0.00348156
         205     1.99029     1.99902  0.00346484
         206     1.93605     1.99872  0.00346148
         207     1.93428     1.99841  0.00345872
         208     1.98758     1.99835  0.00344249
         209     1.97581     1.99825   0.0034277
         210     2.02115     1.99835  0.00341312
         211     2.02221     1.99847  0.00339881
         212     2.02754      1.9986  0.00338555
         213      2.0025     1.99862   0.0033697
         214     1.99177     1.99859  0.00335411
         215     1.98809     1.99854  0.00333886
         216     1.98229     1.99847  0.00332425
         217     1.97766     1.99837  0.00331031
         218     1.98255      1.9983  0.00329593
         219     1.98734     1.99825  0.00328126
         220     1.93714     1.99797  0.00327808
         221     1.93353     1.99768  0.00327618
         222     1.96596     1.99754  0.00326454
         223     2.00558     1.99757   0.0032501
         224     2.04176     1.99777  0.00324157
         225     2.07049     1.99809  0.00324324
         226     2.09241     1.99851  0.00325563
         227     2.07039     1.99883  0.00325665
         228     2.02828     1.99896  0.00324493
         229     2.00066     1.99896  0.00323076
         230     1.96341     1.99881  0.00322041
         231     1.92169     1.99848  0.00322373
         232     1.88853       1.998  0.00324448
         233     1.89163     1.99754  0.00326252
         234     1.90374     1.99714  0.00327312
         235     1.92552     1.99684  0.00327335
         236     1.96125     1.99669  0.00326295
         237     1.98584     1.99664   0.0032495
         238     2.00212     1.99667  0.00323593
         239     1.96297     1.99652  0.00322546
         240      1.9445     1.99631   0.0032193
         241     1.93454     1.99605  0.00321613
         242     1.93943     1.99582  0.00321134
         243     1.98029     1.99575  0.00319876
         244     1.98611     1.99571  0.00318589
         245     1.96882      1.9956  0.00317478
         246     1.94922     1.99542  0.00316747
         247     1.95771     1.99526  0.00315832
         248     1.93877     1.99504  0.00315379
         249     1.94122     1.99482  0.00314852
         250      1.9282     1.99455  0.00314718
