#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.62489     1.62489           0
           2     1.60786     1.61638  0.00601996
           3     1.58466      1.6058  0.00951927
           4     1.60524     1.60566  0.00714049
           5      1.5938     1.60329  0.00609375
           6     1.58379     1.60004  0.00588129
           7     1.56629     1.59522  0.00673322
           8     1.61323     1.59747  0.00625648
           9      1.6169     1.59963  0.00592192
          10     1.59925     1.59959  0.00532985
          11     1.57146     1.59703  0.00542443
          12     1.64145     1.60073  0.00610617
          13     1.60943      1.6014  0.00567298
          14     1.57843     1.59976  0.00550005
          15     1.59288      1.5993  0.00515247
          16      1.6058     1.59971  0.00484643
          17     1.57497     1.59825  0.00477487
          18      1.6073     1.59876  0.00453595
          19     1.60299     1.59898  0.00430269
          20     1.62335      1.6002  0.00425659
