#   N_BLOCK:  ACCEPTANCE:
           1    0.506075
           2    0.506238
           3    0.506454
           4    0.506254
           5     0.50641
           6    0.506681
           7    0.506615
           8    0.506654
           9    0.506759
          10    0.506745
          11    0.506744
          12    0.506638
          13    0.506656
          14    0.506727
          15     0.50682
          16    0.506751
          17    0.506759
          18    0.506745
          19     0.50665
          20    0.506623
