#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02935     0.02935           0
           2    0.034552    0.031951  0.00183918
           3    0.024526    0.029476  0.00236371
           4    0.027304    0.028933  0.00183409
           5    0.038738    0.030894  0.00228677
           6    0.030444    0.030819  0.00190687
           7    0.032246   0.0310229  0.00164532
           8    0.030184    0.030918  0.00144299
           9    0.027412   0.0305284  0.00133421
          10    0.018186   0.0292942  0.00167717
          11    0.027764   0.0291551  0.00153046
          12    0.028176   0.0290735   0.0014051
          13    0.021148   0.0284638  0.00142314
          14    0.031278   0.0286649  0.00133561
          15    0.029926   0.0287489  0.00124921
          16       0.033   0.0290146  0.00119906
          17    0.031708   0.0291731  0.00113894
          18    0.028432   0.0291319  0.00107641
          19    0.036914   0.0295415  0.00109491
          20    0.024548   0.0292918  0.00106826
