#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161       -0.68   -0.469814  0.00960485
         162        -0.6   -0.470617  0.00957912
         163       -0.44   -0.470429   0.0095222
         164       -0.36   -0.469756  0.00948791
         165       -0.36   -0.469091   0.0094537
         166       -0.28   -0.467952  0.00946513
         167       -0.44   -0.467784  0.00940993
         168       -0.52   -0.468095  0.00935905
         169       -0.44   -0.467929  0.00930515
         170       -0.52   -0.468235  0.00925545
         171       -0.52   -0.468538  0.00920627
         172        -0.6   -0.469302  0.00918442
         173        -0.6   -0.470058  0.00916235
         174       -0.44   -0.469885  0.00911132
         175       -0.68   -0.471086  0.00913802
         176       -0.68   -0.472273  0.00916287
         177       -0.68   -0.473446  0.00918596
         178       -0.36   -0.472809  0.00915643
         179       -0.44   -0.472626  0.00910712
         180       -0.44   -0.472444  0.00905832
         181       -0.36   -0.471823  0.00902956
         182       -0.44   -0.471648  0.00898164
         183       -0.44   -0.471475  0.00893422
         184       -0.28   -0.470435  0.00894606
         185       -0.44    -0.47027  0.00889922
         186       -0.36   -0.469677   0.0088711
         187       -0.52   -0.469947  0.00882774
         188       -0.44   -0.469787  0.00878222
         189       -0.36   -0.469206  0.00875494
         190       -0.36   -0.468632  0.00872771
         191       -0.44   -0.468482  0.00868331
         192       -0.28     -0.4675  0.00869339
         193       -0.52   -0.467772   0.0086526
         194       -0.44   -0.467629  0.00860919
         195       -0.44   -0.467487   0.0085662
         196        -0.6   -0.468163  0.00854914
         197       -0.28   -0.467208  0.00855893
         198       -0.36   -0.466667  0.00853281
         199       -0.28   -0.465729  0.00854134
         200       -0.28     -0.4648  0.00854896
         201       -0.36   -0.464279  0.00852232
         202       -0.44   -0.464158  0.00848098
         203       -0.52   -0.464433  0.00844366
         204       -0.36   -0.463922  0.00841777
         205       -0.44   -0.463805  0.00837752
         206        -0.6   -0.464466   0.0083629
         207       -0.44   -0.464348  0.00832333
         208       -0.52   -0.464615  0.00828762
