0.532212	0.440397
0.352209	0.341298
0.102189	0.641041
0.0433038	0.718984
-0.275406	0.822552
-0.449503	0.860349
-0.466501	0.888754
-0.779183	0.870929
-0.969937	0.768363
-0.152597	0.236194
-0.372921	0.0327337
-0.914397	-0.390349
-0.859162	-0.433367
-0.823796	-0.513423
-0.879847	-0.724679
-0.822173	-0.77577
-0.605231	-0.966121
-0.432701	-0.673874
-0.318602	-0.843984
-0.181154	-0.839385
-0.0780206	-0.546856
-0.00898327	-0.470817
0.0577413	-0.469776
0.0837159	-0.337607
0.118997	-0.356315
0.792127	-0.862297
0.660469	-0.501167
0.782262	-0.324856
0.509444	0.172288
0.519291	0.188369
0.535075	0.230693
0.608311	0.190177
0.81498	0.353833
0.98187	0.762372
0.532212	0.440397
