-0.544221	-0.838942
-0.763696	-0.645576
-0.773202	-0.63416
-0.779269	-0.626689
-0.986185	-0.165648
-0.994585	0.103923
-0.929856	0.367925
-0.912641	0.408761
-0.822286	0.569075
-0.628277	0.77799
-0.575539	0.817774
-0.362341	0.932046
-0.00866714	0.999962
-0.00677286	0.999977
0.059202	0.998246
0.0773242	0.997006
0.153008	0.988225
0.216779	0.976221
0.245381	0.969427
0.294665	0.955601
0.751994	0.65917
0.771463	0.636274
0.91703	0.398818
0.949394	0.314087
0.994415	0.105538
0.994599	0.103796
0.998912	0.0466404
0.999767	0.0215912
0.994536	-0.10439
0.9713	-0.237859
0.777431	-0.628969
0.531689	-0.84694
0.231962	-0.972725
-0.343234	-0.93925
-0.544221	-0.838942
