#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.067248    0.067248           0
           2    0.058388    0.062818  0.00313248
           3    0.061018    0.062218  0.00214501
           4    0.073036   0.0649225  0.00284145
           5    0.066398   0.0652176  0.00228843
           6     0.06471    0.065133  0.00190859
           7    0.064226   0.0650034  0.00164033
           8    0.060014   0.0643798  0.00154932
           9    0.070216   0.0650282  0.00150679
          10     0.05182   0.0637074  0.00184639
          11    0.056664   0.0630671  0.00178611
          12     0.07361   0.0639457  0.00184071
          13    0.071064   0.0644932   0.0017787
          14    0.083364   0.0658411   0.0021012
          15    0.064882   0.0657772  0.00196209
          16    0.074114   0.0662983  0.00190739
          17     0.06155   0.0660189  0.00181553
          18    0.049028    0.065075  0.00194463
          19    0.073892   0.0655391  0.00189684
          20    0.059412   0.0652327  0.00182657
