#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.325138    0.325138           0
           2     0.33774    0.331439   0.0044554
           3    0.325892     0.32959  0.00333192
           4    0.332054    0.330206  0.00255526
           5    0.327729    0.329711  0.00209167
           6    0.327602    0.329359  0.00177236
           7    0.333538    0.329956  0.00161655
           8    0.333671    0.330421  0.00147966
           9    0.332066    0.330603   0.0013265
          10    0.328525    0.330396  0.00121003
          11     0.33258    0.330594   0.0011162
          12    0.333877    0.330868  0.00105619
          13    0.337455    0.331375  0.00108974
          14    0.327993    0.331133  0.00103831
          15    0.329428    0.331019 0.000975293
          16    0.326485    0.330736 0.000954618
          17     0.33212    0.330817  0.00090193
          18    0.330495      0.3308    0.000852
          19    0.322015    0.330337 0.000924122
          20    0.333723    0.330507 0.000893291
