#   N_BLOCK:  ACCEPTANCE:
           1    0.364197
           2    0.364746
           3    0.364334
           4    0.364001
           5    0.363869
           6    0.364132
           7    0.364367
           8    0.364708
           9     0.36501
          10    0.364712
          11    0.364803
          12    0.364841
          13    0.364713
          14    0.364887
          15    0.364814
          16    0.364911
          17    0.364897
          18    0.364873
          19     0.36483
          20     0.36496
