#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      3.2523      3.2523           0
           2     3.26949     3.26089  0.00607798
           3     3.22878     3.25019  0.00963427
           4     3.29113     3.26043   0.0114367
           5     3.28414     3.26517   0.0100846
           6     3.26542     3.26521  0.00840396
           7     3.43324     3.28921   0.0233613
           8     3.35496     3.29743    0.021839
           9     3.21104     3.28783   0.0214185
          10     3.16959     3.27601   0.0223032
          11     3.20069     3.26916   0.0213007
          12     3.25232     3.26776   0.0195719
          13     3.14799     3.25855    0.020118
          14     3.23241     3.25668   0.0187675
          15     3.22265     3.25441   0.0176529
          16     3.21049     3.25166   0.0167617
          17     3.30632     3.25488   0.0160811
          18     3.30461     3.25764   0.0154232
          19     3.12716     3.25078   0.0160679
          20     3.16248     3.24636   0.0158594
