#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168    0.839836     1.14136   0.0267426
         169    0.840551     1.13958   0.0266436
         170     0.84122     1.13782   0.0265446
         171    0.841843     1.13609   0.0264457
         172    0.842424     1.13439    0.026347
         173    0.842965      1.1327   0.0262485
         174    0.843465     1.13104   0.0261503
         175    0.843926      1.1294   0.0260522
         176    0.844349     1.12778   0.0259545
         177    0.844737     1.12618   0.0258571
         178    0.845089      1.1246     0.02576
         179    0.845407     1.12304   0.0256633
         180    0.845693      1.1215   0.0255669
         181    0.845949     1.11998   0.0254709
         182    0.846178     1.11847   0.0253754
         183     0.84638     1.11699   0.0252802
         184    0.846558     1.11552   0.0251855
         185    0.846714     1.11406   0.0250913
         186     0.84685     1.11263   0.0249975
         187     0.84697     1.11121   0.0249041
         188    0.847075      1.1098   0.0248113
         189     0.84717     1.10841   0.0247189
         190    0.847258     1.10704   0.0246269
         191    0.847342     1.10568   0.0245355
         192    0.847423     1.10433   0.0244446
         193    0.847508       1.103   0.0243541
         194    0.847597     1.10168   0.0242641
         195    0.847694     1.10038   0.0241746
         196    0.847801     1.09909   0.0240856
         197    0.847919     1.09782   0.0239971
         198    0.848051     1.09656    0.023909
         199    0.848198     1.09531   0.0238214
         200     0.84836     1.09407   0.0237343
         201    0.848537     1.09285   0.0236476
         202    0.848727     1.09164   0.0235614
         203    0.848931     1.09045   0.0234757
         204    0.849146     1.08927   0.0233904
         205    0.849371      1.0881   0.0233055
         206    0.849602     1.08694   0.0232211
         207    0.849836     1.08579   0.0231372
         208    0.850071     1.08466   0.0230537
         209      0.8503     1.08354   0.0229706
         210    0.850518     1.08243    0.022888
         211    0.850721     1.08133   0.0228059
         212    0.850905     1.08024   0.0227242
         213    0.851063     1.07917    0.022643
         214    0.851191      1.0781   0.0225622
         215    0.851286     1.07705   0.0224819
         216    0.851342       1.076   0.0224021
         217    0.851356     1.07497   0.0223228
         218    0.851325     1.07394   0.0222439
         219    0.851245     1.07292   0.0221656
         220    0.851114     1.07192   0.0220878
         221    0.850928     1.07092   0.0220104
         222    0.850688     1.06992   0.0219336
         223    0.850393     1.06894   0.0218574
         224    0.850042     1.06796   0.0217816
         225    0.849636     1.06699   0.0217064
         226    0.849177     1.06603   0.0216318
         227    0.848668     1.06507   0.0215576
         228    0.848109     1.06412   0.0214841
         229    0.847504     1.06317   0.0214111
         230    0.846856     1.06223   0.0213386
         231     0.84617      1.0613   0.0212667
         232     0.84545     1.06037   0.0211954
         233    0.844701     1.05944   0.0211247
         234     0.84393     1.05852   0.0210544
         235    0.843142      1.0576   0.0209848
         236    0.842342     1.05669   0.0209157
         237    0.841536     1.05578   0.0208471
         238    0.840729     1.05488   0.0207791
         239     0.83993     1.05398   0.0207116
         240    0.839144     1.05309   0.0206447
         241    0.838377     1.05219   0.0205782
         242    0.837638     1.05131   0.0205123
         243    0.836933     1.05043   0.0204468
         244    0.836269     1.04955   0.0203818
         245    0.835654     1.04868   0.0203173
         246    0.835092     1.04781   0.0202533
         247    0.834589     1.04694   0.0201897
         248    0.834153     1.04609   0.0201265
         249    0.833788     1.04523   0.0200637
         250    0.833502     1.04439   0.0200013
         251      0.8333     1.04355   0.0199393
         252    0.833189     1.04271   0.0198777
         253    0.833172     1.04188   0.0198163
         254    0.833257     1.04106   0.0197553
         255    0.833448     1.04025   0.0196946
         256     0.83375     1.03944   0.0196342
         257    0.834164     1.03864   0.0195741
         258    0.834694     1.03785   0.0195141
         259    0.835344     1.03707   0.0194545
         260    0.836115      1.0363    0.019395
         261     0.83701     1.03553   0.0193357
         262    0.838028     1.03478   0.0192766
         263     0.83917     1.03403   0.0192176
         264    0.840434      1.0333   0.0191588
         265     0.84182     1.03258   0.0191001
         266    0.843326     1.03187   0.0190416
         267    0.844947     1.03117   0.0189831
         268    0.846677     1.03048   0.0189248
         269    0.848514      1.0298   0.0188665
         270     0.85045     1.02914   0.0188083
         271     0.85248     1.02849   0.0187502
         272    0.854594     1.02785   0.0186922
         273    0.856786     1.02722   0.0186342
         274    0.859047     1.02661   0.0185763
         275    0.861368     1.02601   0.0185185
         276    0.863741     1.02542   0.0184607
         277    0.866157     1.02484    0.018403
         278    0.868605     1.02428   0.0183454
         279    0.871078     1.02373   0.0182879
         280    0.873566      1.0232   0.0182304
         281    0.876058     1.02267    0.018173
         282    0.878547     1.02216   0.0181158
         283    0.881025     1.02166   0.0180586
         284    0.883483     1.02118   0.0180016
         285    0.885912      1.0207   0.0179447
         286    0.888307     1.02024   0.0178879
         287    0.890661     1.01979   0.0178313
         288    0.892966     1.01935   0.0177748
         289    0.895217     1.01892   0.0177185
         290    0.897407      1.0185   0.0176624
         291    0.899533     1.01809   0.0176064
         292     0.90159     1.01769   0.0175506
         293    0.903573      1.0173    0.017495
         294    0.905478     1.01692   0.0174397
         295    0.907304     1.01655   0.0173845
         296    0.909046     1.01619   0.0173296
         297    0.910702     1.01583   0.0172749
         298     0.91227     1.01548   0.0172204
         299    0.913749     1.01514   0.0171661
         300    0.915136     1.01481   0.0171122
         301    0.916431     1.01448   0.0170584
         302    0.917631     1.01416    0.017005
         303    0.918735     1.01385   0.0169518
         304    0.919742     1.01354   0.0168988
         305    0.920653     1.01323   0.0168462
         306    0.921465     1.01293   0.0167938
         307     0.92218     1.01264   0.0167417
         308    0.922796     1.01235   0.0166899
         309    0.923314     1.01206   0.0166383
         310    0.923734     1.01177   0.0165871
         311    0.924058     1.01149   0.0165362
         312    0.924286     1.01121   0.0164855
         313     0.92442     1.01093   0.0164352
         314    0.924458     1.01066   0.0163852
         315    0.924401     1.01038   0.0163354
         316    0.924251     1.01011    0.016286
         317    0.924009     1.00984   0.0162369
         318    0.923678     1.00957   0.0161881
         319    0.923256      1.0093   0.0161396
         320    0.922746     1.00903   0.0160914
         321    0.922149     1.00876   0.0160436
         322    0.921466     1.00849    0.015996
         323      0.9207     1.00821   0.0159488
         324    0.919853     1.00794   0.0159019
         325    0.918928     1.00767   0.0158554
         326    0.917925     1.00739   0.0158091
         327    0.916846     1.00712   0.0157632
         328    0.915694     1.00684   0.0157176
