#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.074618    0.074618           0
           2     0.08768    0.081149  0.00461811
           3    0.070266   0.0775213  0.00427223
           4    0.090108    0.080668  0.00420629
           5    0.092878     0.08311  0.00401175
           6    0.091212   0.0844603  0.00356314
           7    0.095258   0.0860029  0.00337152
           8    0.074436    0.084557  0.00324533
           9    0.074408   0.0834293  0.00307442
          10    0.075276    0.082614  0.00287305
          11    0.080378   0.0824107  0.00261905
          12    0.097748   0.0836888  0.00269467
          13     0.09675   0.0846935  0.00266812
          14    0.064552   0.0832549  0.00283904
          15    0.094398   0.0839977  0.00274525
          16    0.072542   0.0832817   0.0026654
          17    0.096576   0.0840638  0.00262082
          18    0.082488   0.0839762  0.00247668
          19    0.086944   0.0841324  0.00235125
          20    0.079334   0.0838925   0.0022459
