#   N_BLOCK:  ACCEPTANCE:
           1    0.295844
           2    0.298038
           3    0.298581
           4    0.299096
           5     0.29913
           6    0.299141
           7    0.299209
           8    0.299194
           9    0.299333
          10    0.299157
          11    0.298971
          12    0.298908
          13    0.298565
          14    0.298813
          15     0.29856
          16    0.298606
          17    0.298529
          18     0.29866
          19    0.298625
          20    0.298672
