#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.95288     4.95288           0
           2     4.90392      4.9284   0.0173112
           3     4.96342     4.94007   0.0149685
           4     4.91214     4.93309   0.0127518
           5     4.74579     4.89563   0.0350236
           6     4.88483     4.89383   0.0292325
           7     4.87614      4.8913   0.0251654
           8     4.97282     4.90149    0.023994
           9     4.84094     4.89476   0.0222512
          10     5.03082     4.90837   0.0238255
          11     5.10739     4.92646     0.02769
          12     4.98374     4.93124   0.0257905
          13      5.0741     4.94223    0.026043
          14     4.85989     4.93635   0.0248379
          15      5.0277     4.94244   0.0239171
          16     4.92744      4.9415   0.0224407
          17     5.05413     4.94812    0.022077
          18     4.98805     4.95034   0.0209616
          19     4.88694       4.947   0.0201222
          20     4.77112     4.93821   0.0209499
