#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     34.3391     34.3391           0
           2     33.9892     34.1642    0.123718
           3     33.3575     33.8953     0.23453
           4     29.1786     32.7161     1.03623
           5     33.2991     32.8327    0.835517
           6     33.0897     32.8755    0.697361
           7     30.4162     32.5242    0.680507
           8     32.9378     32.5759    0.597404
           9     33.5386     32.6829    0.540519
          10      33.023     32.7169    0.487536
          11     32.2121      32.671    0.445368
          12     33.2691     32.7208    0.411034
          13     29.5022     32.4732    0.447819
          14      26.324      32.034    0.593346
          15     36.4337     32.3273    0.622075
          16     34.0077     32.4323    0.591994
          17     31.7341     32.3913    0.558594
          18     32.9963     32.4249    0.528572
          19     35.2972     32.5761    0.521923
          20     33.1793     32.6062    0.496697
