#   N_BLOCK:  ACCEPTANCE:
           1   0.0697733
           2   0.0696473
           3   0.0713548
           4   0.0727398
           5   0.0723956
           6   0.0713702
           7   0.0713468
           8   0.0716399
           9   0.0719154
          10   0.0715202
          11   0.0714943
          12   0.0712502
          13   0.0714164
          14   0.0715963
          15   0.0720388
          16   0.0722347
          17   0.0719507
          18   0.0716151
          19    0.071349
          20   0.0712413
