#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.05033     0.05033           0
           2    0.064346    0.057338   0.0049554
           3     0.05146   0.0553787  0.00367057
           4    0.047352    0.053372  0.00325556
           5     0.04613   0.0519236  0.00290885
           6    0.047148   0.0511277   0.0025306
           7    0.048328   0.0507277  0.00220046
           8     0.05799   0.0516355  0.00210434
           9    0.060602   0.0526318  0.00209312
          10    0.039008   0.0512694  0.00228456
          11     0.04559   0.0507531  0.00213441
          12    0.052618   0.0509085   0.0019622
          13    0.055806   0.0512852  0.00184707
          14    0.054762   0.0515336  0.00173175
          15     0.04999   0.0514307  0.00161935
          16    0.053088   0.0515343  0.00152145
          17    0.052594   0.0515966  0.00143323
          18    0.059936   0.0520599  0.00142653
          19    0.051768   0.0520445  0.00135153
          20    0.045678   0.0517262  0.00132091
