#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.93925     2.08915   0.0163482
         170     1.95687     2.08837   0.0162706
         171     2.00395     2.08787   0.0161829
         172     2.00132     2.08737   0.0160967
         173     2.01033     2.08693   0.0160098
         174     1.99662     2.08641   0.0159262
         175     1.98515     2.08583   0.0158457
         176     1.97776     2.08521   0.0157675
         177     1.97461     2.08459   0.0156908
         178     1.93466     2.08375   0.0156253
         179     1.93106     2.08289   0.0155612
         180     1.95015     2.08216   0.0154923
         181     1.97292     2.08155   0.0154184
         182     1.96493     2.08091    0.015347
         183     1.94659     2.08018   0.0152807
         184     1.96582     2.07956   0.0152103
         185     1.97435     2.07899   0.0151387
         186     1.96559     2.07838   0.0150696
         187     1.93825     2.07763   0.0150076
         188     1.91833     2.07678   0.0149517
         189     1.92271     2.07597   0.0148948
         190     1.92064     2.07515   0.0148388
         191     1.93729     2.07443   0.0147786
         192     1.95145     2.07379   0.0147155
         193     1.95636     2.07318   0.0146519
         194     1.94519     2.07252   0.0145912
         195      1.9299     2.07179   0.0145347
         196     1.93183     2.07107   0.0144781
         197     1.92704     2.07034    0.014423
         198     1.91528     2.06956   0.0143714
         199     1.95012     2.06896   0.0143117
         200     1.97782      2.0685   0.0142474
         201     2.00681      2.0682   0.0141798
         202     1.98586     2.06779   0.0141155
         203     1.99258     2.06742   0.0140508
         204     2.04623     2.06731   0.0139823
         205     2.04047     2.06718   0.0139147
         206     2.03739     2.06704   0.0138479
         207     2.01451     2.06678   0.0137834
         208     1.99358     2.06643   0.0137216
         209     2.01415     2.06618   0.0136582
         210     2.01719     2.06595   0.0135952
         211     2.04784     2.06586    0.013531
         212     2.05715     2.06582   0.0134673
         213     2.06403     2.06581    0.013404
         214       2.034     2.06566   0.0133422
         215      2.0119     2.06541   0.0132825
         216     2.00654     2.06514   0.0132238
         217     2.00415     2.06486   0.0131659
         218     2.04136     2.06475   0.0131059
         219     2.06287     2.06474   0.0130461
         220     2.02025     2.06454   0.0129883
         221      1.9952     2.06423   0.0129333
         222     1.95378     2.06373   0.0128847
         223     1.93138     2.06314   0.0128405
         224     1.91571     2.06248   0.0128001
         225     1.90935      2.0618   0.0127613
         226      1.9326     2.06123   0.0127176
         227     1.95543     2.06076   0.0126701
         228     1.99766     2.06048   0.0126176
         229     2.00892     2.06026   0.0125645
         230     1.98886     2.05995   0.0125137
         231     1.95985     2.05952    0.012467
         232     1.95393     2.05906   0.0124216
         233     1.97838     2.05871   0.0123731
         234     1.99778     2.05845   0.0123229
         235     1.98429     2.05814   0.0122745
         236     1.97051     2.05777   0.0122282
         237      1.9713      2.0574    0.012182
         238     1.96172       2.057   0.0121374
         239     1.97583     2.05666   0.0120914
         240     1.98051     2.05634   0.0120452
         241     2.00819     2.05614   0.0119969
         242     2.00783     2.05594    0.011949
         243     1.99847     2.05571   0.0119021
         244     1.97028     2.05536   0.0118585
         245     1.96589     2.05499   0.0118157
         246     1.99205     2.05474   0.0117705
         247      2.0593     2.05475   0.0117228
         248     2.06956     2.05481   0.0116757
         249     2.03756     2.05474    0.011629
         250     1.97939     2.05444   0.0115864
