#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147      1.3637     1.39984   0.0124042
         148     1.35987     1.39957   0.0123233
         149     1.35381     1.39926   0.0122444
         150      1.3537     1.39896   0.0121666
         151     1.35166     1.39864     0.01209
         152     1.35837     1.39838   0.0120134
         153     1.34591     1.39803   0.0119398
         154     1.34059     1.39766   0.0118681
         155     1.35601     1.39739   0.0117945
         156     1.39135     1.39735    0.011719
         157     1.38159     1.39725   0.0116448
         158     1.35582     1.39699    0.011574
         159     1.31441     1.39647   0.0115129
         160     1.32122       1.396   0.0114505
         161     1.34469     1.39568   0.0113838
         162     1.34966      1.3954   0.0113171
         163     1.34811     1.39511   0.0112514
         164     1.34406      1.3948   0.0111871
         165      1.3545     1.39455    0.011122
         166     1.35758     1.39433   0.0110572
         167     1.32563     1.39392   0.0109986
         168     1.29969     1.39336   0.0109475
         169     1.29283     1.39276   0.0108988
         170     1.30458     1.39224   0.0108471
         171     1.33597     1.39192   0.0107886
         172     1.33422     1.39158   0.0107311
         173     1.34022     1.39128   0.0106732
         174     1.33108     1.39094   0.0106174
         175     1.32343     1.39055   0.0105638
         176     1.31851     1.39014   0.0105117
         177     1.31641     1.38973   0.0104606
         178     1.28977     1.38916   0.0104168
         179     1.28737      1.3886   0.0103742
         180      1.3001      1.3881   0.0103282
         181     1.31528      1.3877   0.0102789
         182     1.30995     1.38727   0.0102313
         183     1.29773     1.38678   0.0101871
         184     1.31055     1.38637   0.0101402
         185     1.31624     1.38599   0.0100925
         186     1.31039     1.38559   0.0100464
         187     1.29216     1.38509   0.0100051
         188     1.27889     1.38452  0.00996778
         189     1.28181     1.38398  0.00992984
         190     1.28042     1.38343  0.00989253
         191     1.29152     1.38295  0.00985243
         192     1.30097     1.38252  0.00981036
         193     1.30424     1.38212  0.00976791
         194     1.29679     1.38168  0.00972746
         195      1.2866     1.38119  0.00968979
         196     1.28789     1.38071  0.00965204
         197      1.2847     1.38023  0.00961534
         198     1.27685     1.37971  0.00958094
         199     1.30008     1.37931  0.00954115
         200     1.31855       1.379  0.00949828
         201     1.33788      1.3788  0.00945323
         202      1.3239     1.37853  0.00941033
         203     1.32839     1.37828  0.00936722
         204     1.36415     1.37821  0.00932155
         205     1.36031     1.37812  0.00927649
         206     1.35826     1.37803  0.00923196
         207     1.34301     1.37786  0.00918891
         208     1.32905     1.37762  0.00914773
         209     1.34277     1.37745  0.00910548
