#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -0.44074    -0.50119   0.0180889
         153   -0.422198   -0.500674    0.017978
         154   -0.414234   -0.500112     0.01787
         155    -0.43777    -0.49971   0.0177593
         156   -0.490378    -0.49965   0.0176455
         157   -0.475408   -0.499496   0.0175338
         158   -0.436686   -0.499098   0.0174273
         159   -0.374645   -0.498316   0.0173353
         160   -0.385158   -0.497608   0.0172414
         161   -0.420671    -0.49713   0.0171409
         162    -0.42746     -0.4967   0.0170405
         163   -0.425536   -0.496264   0.0169415
         164   -0.419726   -0.495797   0.0168447
         165   -0.435221    -0.49543   0.0167466
         166   -0.439658   -0.495094   0.0166491
         167   -0.391611   -0.494474   0.0165609
         168   -0.352742   -0.493631   0.0164838
         169   -0.342952   -0.492739   0.0164104
         170   -0.360496   -0.491961   0.0163323
         171   -0.407676   -0.491468   0.0162442
         172   -0.404992   -0.490966   0.0161575
         173   -0.413723   -0.490519   0.0160703
         174   -0.400008   -0.489999   0.0159863
         175     -0.3888   -0.489421   0.0159055
         176   -0.381078   -0.488805    0.015827
         177   -0.377993   -0.488179   0.0157499
         178   -0.337924   -0.487335   0.0156841
         179   -0.334637   -0.486482   0.0156196
         180   -0.353693   -0.485744   0.0155503
         181   -0.376221   -0.485139   0.0154761
         182    -0.36822   -0.484497   0.0154044
         183   -0.349922   -0.483761   0.0153378
         184   -0.369285   -0.483139    0.015267
         185   -0.377786    -0.48257   0.0151951
         186   -0.368411   -0.481956   0.0151258
         187    -0.34156   -0.481205   0.0150636
         188   -0.321646   -0.480356   0.0150073
         189    -0.32585   -0.479539   0.0149502
         190    -0.32405    -0.47872   0.0148939
         191   -0.340649   -0.477998   0.0148334
         192   -0.354667   -0.477355   0.0147701
         193   -0.359693   -0.476746   0.0147061
         194   -0.348406   -0.476084   0.0146452
         195   -0.333239   -0.475351   0.0145884
         196   -0.335155   -0.474636   0.0145315
         197   -0.330318   -0.473904   0.0144762
