#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     2.34992     2.28241  0.00391255
         169     2.36673     2.28291  0.00392109
         170     2.34396     2.28327  0.00391443
         171     2.33872     2.28359  0.00390495
         172     2.32985     2.28386   0.0038915
         173     2.33541     2.28416   0.0038804
         174     2.35208     2.28455  0.00387768
         175     2.34894     2.28492  0.00387294
         176     2.33968     2.28523  0.00386342
         177     2.34944     2.28559  0.00385858
         178     2.35042     2.28595  0.00385405
         179     2.36751     2.28641  0.00385936
         180     2.38943     2.28698  0.00388013
         181     2.39217     2.28756  0.00390197
         182     2.36537     2.28799  0.00390388
         183      2.3599     2.28838  0.00390227
         184      2.3771     2.28887  0.00391073
         185     2.35264     2.28921  0.00390476
         186     2.32052     2.28938  0.00388739
         187     2.32847     2.28959  0.00387222
         188     2.35661     2.28994    0.003868
         189      2.3625     2.29033  0.00386654
         190     2.35289     2.29066  0.00386018
         191     2.35465     2.29099  0.00385448
         192     2.35267     2.29131  0.00384777
         193     2.37876     2.29177  0.00385442
         194     2.36021     2.29212  0.00385066
         195     2.35586     2.29245  0.00384477
         196      2.3208     2.29259  0.00382787
         197     2.29304     2.29259  0.00380844
         198     2.28889     2.29257  0.00378925
         199     2.30216     2.29262  0.00377052
         200     2.31966     2.29276  0.00375409
         201     2.29112     2.29275  0.00373542
         202     2.29817     2.29278  0.00371702
         203     2.30566     2.29284  0.00369925
         204     2.22627     2.29251  0.00369549
         205     2.20356     2.29208  0.00370285
         206     2.23329     2.29179  0.00369585
         207     2.24846     2.29158  0.00368392
         208     2.24625     2.29137  0.00367265
         209     2.22275     2.29104  0.00366973
         210     2.22533     2.29073  0.00366557
         211     2.26199     2.29059  0.00365072
         212     2.25364     2.29042  0.00363766
         213     2.23014     2.29013  0.00363157
         214     2.21801      2.2898  0.00363021
         215      2.2254      2.2895  0.00362566
         216     2.28791     2.28949  0.00360888
         217     2.29725     2.28952  0.00359243
         218     2.28644     2.28951  0.00357598
         219     2.32094     2.28965  0.00356253
         220     2.31187     2.28975  0.00354777
         221     2.28761     2.28974  0.00353173
         222     2.28362     2.28972  0.00351593
         223     2.28699      2.2897  0.00350018
         224     2.28387     2.28968  0.00348465
         225     2.29753     2.28971  0.00346934
         226     2.29159     2.28972    0.003454
         227     2.28206     2.28969  0.00343895
         228     2.30516     2.28976  0.00342453
         229     2.33483     2.28995  0.00341523
         230     2.33175     2.29013  0.00340521
         231     2.32361     2.29028  0.00339355
         232     2.31087     2.29037  0.00338009
         233     2.27988     2.29032  0.00336588
         234     2.28773     2.29031  0.00335151
         235     2.29313     2.29032  0.00333727
         236     2.28804     2.29031  0.00332315
         237     2.28617      2.2903  0.00330917
         238     2.27528     2.29023  0.00329587
         239     2.25988     2.29011  0.00328452
         240     2.28119     2.29007  0.00327105
         241     2.27557     2.29001  0.00325803
         242     2.28289     2.28998   0.0032447
         243     2.27195     2.28991  0.00323219
         244     2.27557     2.28985  0.00321948
         245     2.28816     2.28984  0.00320635
         246     2.32758     2.28999  0.00319698
         247     2.33408     2.29017  0.00318902
         248     2.30272     2.29022  0.00317656
         249     2.28097     2.29019  0.00316402
         250     2.30192     2.29023  0.00315171
