#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.56661     1.52161  0.00260837
         169     1.57782     1.52194  0.00261406
         170     1.56264     1.52218  0.00260962
         171     1.55915     1.52239   0.0026033
         172     1.55323     1.52257  0.00259433
         173     1.55694     1.52277  0.00258693
         174     1.56805     1.52303  0.00258512
         175     1.56596     1.52328  0.00258196
         176     1.55979     1.52348  0.00257561
         177     1.56629     1.52373  0.00257239
         178     1.56695     1.52397  0.00256937
         179     1.57834     1.52427  0.00257291
         180     1.59295     1.52465  0.00258675
         181     1.59478     1.52504  0.00260131
         182     1.57691     1.52533  0.00260259
         183     1.57326     1.52559  0.00260151
         184     1.58473     1.52591  0.00260716
         185     1.56843     1.52614  0.00260317
         186     1.54702     1.52625   0.0025916
         187     1.55231     1.52639  0.00258148
         188     1.57107     1.52663  0.00257867
         189       1.575     1.52689  0.00257769
         190     1.56859      1.5271  0.00257346
         191     1.56976     1.52733  0.00256966
         192     1.56845     1.52754  0.00256518
         193     1.58584     1.52784  0.00256961
         194     1.57347     1.52808  0.00256711
         195     1.57058      1.5283  0.00256318
         196      1.5472     1.52839  0.00255191
         197      1.5287      1.5284  0.00253896
         198     1.52592     1.52838  0.00252617
         199     1.53477     1.52841  0.00251368
         200     1.54644     1.52851  0.00250272
         201     1.52742      1.5285  0.00249028
         202     1.53211     1.52852  0.00247802
         203     1.53711     1.52856  0.00246617
         204     1.48418     1.52834  0.00246366
         205     1.46904     1.52805  0.00246856
         206     1.48886     1.52786   0.0024639
         207     1.49898     1.52772  0.00245595
         208      1.4975     1.52758  0.00244843
         209     1.48183     1.52736  0.00244648
         210     1.48355     1.52715  0.00244371
         211     1.50799     1.52706  0.00243382
         212     1.50242     1.52694  0.00242511
         213     1.48676     1.52675  0.00242105
         214     1.47867     1.52653  0.00242014
         215      1.4836     1.52633  0.00241711
         216     1.52527     1.52633  0.00240592
         217      1.5315     1.52635  0.00239495
         218     1.52429     1.52634  0.00238399
         219     1.54729     1.52644  0.00237502
         220     1.54125      1.5265  0.00236518
         221     1.52507      1.5265  0.00235448
         222     1.52241     1.52648  0.00234395
         223     1.52466     1.52647  0.00233345
         224     1.52258     1.52645   0.0023231
