#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.353544   -0.346407  0.00409027
         153   -0.358476   -0.346485   0.0040643
         154   -0.358423   -0.346563  0.00403864
         155   -0.350058   -0.346586  0.00401265
         156   -0.361209   -0.346679  0.00398802
         157    -0.31614   -0.346485  0.00396736
         158   -0.326708    -0.34636  0.00394423
         159   -0.362898   -0.346464  0.00392079
         160   -0.370334   -0.346613  0.00389912
         161    -0.37991    -0.34682  0.00388039
         162    -0.39995   -0.347148  0.00387027
         163   -0.420311   -0.347596  0.00387247
         164   -0.449583   -0.348218  0.00389847
         165   -0.455435   -0.348868  0.00392862
         166   -0.420982   -0.349303   0.0039289
         167   -0.398809   -0.349599  0.00391654
         168    -0.41787   -0.350005  0.00391425
         169   -0.434726   -0.350507  0.00392306
         170   -0.411758   -0.350867   0.0039165
         171   -0.406458   -0.351192  0.00390706
         172   -0.397866   -0.351463  0.00389376
         173   -0.403264   -0.351763  0.00388275
         174   -0.420031   -0.352155   0.0038802
         175   -0.416914   -0.352525  0.00387564
         176   -0.407709   -0.352839  0.00386628
         177   -0.417254   -0.353203  0.00386153
         178   -0.418417   -0.353569  0.00385717
         179   -0.435583   -0.354027  0.00386274
         180   -0.457646   -0.354603  0.00388394
         181   -0.459993   -0.355185  0.00390588
         182   -0.432853   -0.355612  0.00390766
         183   -0.427948   -0.356007  0.00390625
         184   -0.444958   -0.356491  0.00391482
         185    -0.42037   -0.356836  0.00390886
         186   -0.387886   -0.357003  0.00389141
         187   -0.396598   -0.357215  0.00387635
         188   -0.424283   -0.357571  0.00387212
         189   -0.429982   -0.357954  0.00387054
         190   -0.420295   -0.358283  0.00386405
         191   -0.422451   -0.358619  0.00385839
         192   -0.420234   -0.358939  0.00385162
         193   -0.446421   -0.359393  0.00385824
         194   -0.427797   -0.359745  0.00385443
         195   -0.423069    -0.36007  0.00384832
         196   -0.388549   -0.360215  0.00383143
         197   -0.360854   -0.360219  0.00381198
         198   -0.356807   -0.360201  0.00379277
         199   -0.369619   -0.360249  0.00377401
         200     -0.3877   -0.360386  0.00375763
         201   -0.358804   -0.360378  0.00373894
         202   -0.366041   -0.360406  0.00372054
         203   -0.372886   -0.360468  0.00370272
         204   -0.293559    -0.36014  0.00369907
         205   -0.271223   -0.359706  0.00370636
         206   -0.300807    -0.35942  0.00369938
         207   -0.316061    -0.35921  0.00368744
         208   -0.314039   -0.358993   0.0036761
         209   -0.290427   -0.358665  0.00367312
         210   -0.292867   -0.358352  0.00366897
         211   -0.329958   -0.358217  0.00365405
         212   -0.321184   -0.358043  0.00364098
         213   -0.297588   -0.357759  0.00363494
         214   -0.285491   -0.357421   0.0036336
         215   -0.293408   -0.357123  0.00362888
         216   -0.355465   -0.357116  0.00361209
         217   -0.364986   -0.357152  0.00359562
         218   -0.354085   -0.357138  0.00357916
         219    -0.38857   -0.357281  0.00356569
         220   -0.379503   -0.357382  0.00355091
         221   -0.355196   -0.357373  0.00353486
         222    -0.35107   -0.357344  0.00351905
         223   -0.354408   -0.357331   0.0035033
         224   -0.351919   -0.357307  0.00348774
         225    -0.36513   -0.357342  0.00347241
         226   -0.359144    -0.35735  0.00345706
         227   -0.349242   -0.357314  0.00344201
         228   -0.373396   -0.357384  0.00342764
         229   -0.402502   -0.357581  0.00341833
         230   -0.399352   -0.357763  0.00340829
         231   -0.391054   -0.357907  0.00339658
         232   -0.378531   -0.357996   0.0033831
         233   -0.347423   -0.357951  0.00336888
         234   -0.355226   -0.357939  0.00335451
         235   -0.360652   -0.357951  0.00334025
         236    -0.35565   -0.357941  0.00332611
         237   -0.353651   -0.357923  0.00331213
         238   -0.342709   -0.357859  0.00329883
         239   -0.327551   -0.357732  0.00328746
         240   -0.348796   -0.357695  0.00327398
         241   -0.343222   -0.357635  0.00326094
         242   -0.350416   -0.357605   0.0032476
         243   -0.339373    -0.35753  0.00323511
         244   -0.343266   -0.357471  0.00322237
         245   -0.355718   -0.357464  0.00320923
         246   -0.395439   -0.357619  0.00319989
         247   -0.401585   -0.357797  0.00319189
         248   -0.370279   -0.357847  0.00317941
         249   -0.348341   -0.357809  0.00316687
         250   -0.369635   -0.357856  0.00315456
