#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.72145     1.72145           0
           2     1.37888     1.55017    0.121116
           3     1.31446      1.4716    0.103125
           4     1.31563     1.43261   0.0843943
           5     1.23881     1.39385   0.0758954
           6     1.23079     1.36667   0.0679378
           7     1.24158      1.3488   0.0605371
           8     1.25255     1.33677   0.0541523
           9     1.21429     1.32316   0.0498159
          10     1.22095     1.31294   0.0458709
          11     1.22826     1.30524   0.0423418
          12     1.22494     1.29855   0.0393385
          13     1.25143     1.29493   0.0364791
          14     1.23437      1.2906   0.0341289
          15     1.20498     1.28489   0.0323275
          16     1.23974     1.28207   0.0304299
          17     1.22204     1.27854    0.028844
          18     1.24914     1.27691   0.0272878
          19     1.26058     1.27605   0.0258651
          20     1.27055     1.27577   0.0245733
          21     1.26236     1.27513   0.0234115
          22     1.24121     1.27359    0.022398
          23     1.23001      1.2717   0.0215042
          24     1.24378     1.27053   0.0206397
          25     1.26403     1.27027   0.0198157
          26     1.28872     1.27098   0.0190663
          27     1.26221     1.27066   0.0183629
          28     1.25058     1.26994    0.017721
          29     1.26952     1.26993     0.01711
          30     1.30278     1.27102   0.0165747
