#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.58217     2.58217           0
           2     2.06832     2.32525    0.181674
           3      1.9717      2.2074    0.154688
           4     1.97344     2.14891    0.126591
           5     1.85822     2.09077    0.113843
           6     1.84618     2.05001    0.101907
           7     1.86237      2.0232   0.0908057
           8     1.87883     2.00515   0.0812284
           9     1.82144     1.98474   0.0747239
          10     1.83143     1.96941   0.0688063
          11      1.8424     1.95786   0.0635127
          12     1.83741     1.94783   0.0590078
          13     1.87715     1.94239   0.0547186
          14     1.85155      1.9359   0.0511934
          15     1.80747     1.92734   0.0484912
          16     1.85962     1.92311   0.0456448
          17     1.83307     1.91781   0.0432661
          18     1.87372     1.91536   0.0409317
          19     1.89087     1.91407   0.0387977
          20     1.90582     1.91366     0.03686
          21     1.89354      1.9127   0.0351172
          22     1.86181     1.91039   0.0335971
          23     1.84501     1.90754   0.0322563
          24     1.86567      1.9058   0.0309595
          25     1.89605     1.90541   0.0297236
          26     1.93308     1.90647   0.0285994
          27     1.89332     1.90599   0.0275443
          28     1.87587     1.90491   0.0265816
          29     1.90428     1.90489    0.025665
          30     1.95417     1.90653    0.024862
