#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.46906     1.46906           0
           2      1.4718     1.47043 0.000968427
           3     1.47202     1.47096 0.000777873
           4     1.47187     1.47119 0.000615936
           5     1.47183     1.47131  0.00050583
           6     1.47193     1.47142 0.000431769
           7     1.47196     1.47149 0.000377045
           8     1.47197     1.47155 0.000334606
           9     1.47205     1.47161 0.000301872
          10     1.47208     1.47166 0.000275362
          11     1.47193     1.47168  0.00025144
          12      1.4721     1.47172 0.000232904
          13     1.47198     1.47174 0.000215872
          14     1.47195     1.47175 0.000201001
          15     1.47193     1.47176  0.00018795
          16     1.47202     1.47178 0.000176888
          17     1.47198     1.47179 0.000166878
          18     1.47178     1.47179 0.000157608
          19     1.47186     1.47179 0.000149354
          20      1.4719      1.4718 0.000141987
          21     1.47196     1.47181 0.000135435
          22     1.47192     1.47181 0.000129368
          23     1.47185     1.47181 0.000123756
          24     1.47195     1.47182 0.000118734
          25     1.47195     1.47183 0.000114101
          26      1.4717     1.47182  0.00010982
          27     1.47185     1.47182  0.00010576
          28     1.47193     1.47183 0.000102052
          29      1.4719     1.47183 9.85686e-05
          30     1.47181     1.47183 9.52848e-05
