       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
           1   0.0942809 0.000761122 0.000761122           0
           1    0.282843    0.025117    0.025117           0
           1    0.471405   0.0614299   0.0614299           0
           1    0.659966   0.0995105   0.0995105           0
           1    0.848528    0.146847    0.146847           0
           1     1.03709    0.179821    0.179821           0
           1     1.22565    0.262562    0.262562           0
           1     1.41421    0.278693    0.278693           0
           1     1.60278     0.40229     0.40229           0
           1     1.79134    0.506072    0.506072           0
           1      1.9799    0.486922    0.486922           0
           1     2.16846    0.526426    0.526426           0
           1     2.35702    0.546117    0.546117           0
           1     2.54558      0.5032      0.5032           0
           1     2.73415    0.400743    0.400743           0
           1     2.92271     0.27533     0.27533           0
           1     3.11127    0.189102    0.189102           0
           1     3.29983    0.129366    0.129366           0
           1     3.48839   0.0681327   0.0681327           0
           1     3.67696   0.0784692   0.0784692           0
           1     3.86552    0.065211    0.065211           0
           1     4.05408   0.0374177   0.0374177           0
           1     4.24264   0.0138475   0.0138475           0
           1      4.4312   0.0079795   0.0079795           0
           1     4.61976   0.0084951   0.0084951           0
           1     4.80833  0.00343732  0.00343732           0
           1     4.99689           0           0           0
           1     5.18545           0           0           0
           1     5.37401           0           0           0
           1     5.56257           0           0           0
           2   0.0942809  0.00297083  0.00186598  0.00078125
           2    0.282843   0.0217534   0.0234352  0.00118924
           2    0.471405   0.0877254   0.0745777  0.00929687
           2    0.659966    0.136855    0.118183   0.0132031
           2    0.848528    0.201133     0.17399   0.0191927
           2     1.03709    0.316111    0.247966   0.0481858
           2     1.22565    0.429985    0.346274   0.0591927
           2     1.41421    0.427579    0.353136   0.0526389
           2     1.60278    0.570326    0.486308   0.0594097
           2     1.79134    0.620658    0.563365   0.0405122
           2      1.9799    0.490948    0.488935  0.00142361
           2     2.16846    0.496202    0.511314   0.0106858
           2     2.35702    0.337103     0.44161   0.0738976
           2     2.54558    0.311053    0.407127    0.067934
           2     2.73415    0.237347    0.319045   0.0577691
           2     2.92271    0.201206    0.238268   0.0262066
           2     3.11127    0.165998     0.17755   0.0081684
           2     3.29983    0.102334     0.11585  0.00955729
           2     3.48839   0.0494975   0.0588151  0.00658854
           2     3.67696   0.0480243   0.0632468   0.0107639
           2     3.86552   0.0181933   0.0417021   0.0166233
           2     4.05408    0.018046   0.0277318  0.00684896
           2     4.24264  0.00775853    0.010803  0.00215278
           2      4.4312  0.00287262  0.00542606  0.00180556
           2     4.61976  0.00162045  0.00505778  0.00243056
           2     4.80833           0  0.00171866  0.00121528
           2     4.99689           0           0           0
           2     5.18545           0           0           0
           2     5.37401           0           0           0
           2     5.56257           0           0           0
           3   0.0942809  0.00127672  0.00166956 0.000544966
           3    0.282843   0.0208204   0.0225636  0.00106538
           3    0.471405     0.10366   0.0842717   0.0100531
           3    0.659966    0.245032    0.160466   0.0356285
           3    0.848528    0.295291    0.214424   0.0354067
           3     1.03709    0.486701    0.327544   0.0724826
           3     1.22565    0.408993     0.36718   0.0429955
           3     1.41421    0.419255    0.375176   0.0394376
           3     1.60278    0.444225     0.47228   0.0412293
           3     1.79134    0.594289    0.573673   0.0282891
           3      1.9799    0.521418    0.499762  0.00889147
           3     2.16846    0.265018    0.429215   0.0674109
           3     2.35702    0.373613    0.418944   0.0526264
           3     2.54558    0.329934    0.381396    0.049925
           3     2.73415     0.24513    0.294407   0.0434503
           3     2.92271    0.143017    0.206518   0.0312616
           3     3.11127    0.110976    0.155359   0.0189197
           3     3.29983   0.0540397   0.0952466   0.0179889
           3     3.48839    0.111222   0.0762841   0.0149244
           3     3.67696   0.0456182   0.0573706  0.00863213
           3     3.86552    0.025338   0.0362474   0.0119436
           3     4.05408   0.0363374   0.0306004  0.00513164
           3     4.24264   0.0177022   0.0131028  0.00236339
           3      4.4312  0.00439487  0.00508233  0.00123599
           3     4.61976           0  0.00337185  0.00212615
           3     4.80833           0  0.00114577 0.000935521
           3     4.99689           0           0           0
           3     5.18545           0           0           0
           3     5.37401           0           0           0
           3     5.56257           0           0           0
           4   0.0942809  0.00238157  0.00184756 0.000436829
           4    0.282843   0.0898124   0.0393758   0.0145817
           4    0.471405    0.194503     0.11183   0.0250286
           4    0.659966     0.19141    0.168202   0.0275484
           4    0.848528    0.291264    0.233634   0.0313359
           4     1.03709    0.370224    0.338214   0.0551417
           4     1.22565    0.469268    0.392702   0.0390945
           4     1.41421    0.469195    0.398681   0.0359058
           4     1.60278    0.445772    0.465653   0.0314501
           4     1.79134    0.561315    0.570584   0.0213849
           4      1.9799    0.397821    0.474277   0.0230564
           4     2.16846    0.370617    0.414566   0.0521257
           4     2.35702    0.336244    0.398269   0.0433412
