#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.34154     3.34154           0
           2     3.18769     3.26462   0.0543938
           3     3.34402     3.29109   0.0422135
           4     3.17459     3.26196   0.0404787
           5     3.34581     3.27873   0.0356878
           6     3.27612      3.2783   0.0297425
           7     3.35949     3.28989   0.0276631
           8     3.24271       3.284   0.0248259
           9     3.13682     3.26764     0.02692
          10     3.28592     3.26947     0.02429
          11     3.21874     3.26486   0.0225153
          12     3.38777      3.2751   0.0228502
          13     3.20391     3.26963   0.0217388
          14     3.29248     3.27126   0.0202473
          15     3.17837     3.26507   0.0198219
          16     3.17079     3.25917   0.0194391
          17     3.22706     3.25728   0.0183872
          18      3.2078     3.25453     0.01757
          19     3.23518     3.25352   0.0166748
          20     3.34557     3.25812    0.016464
