#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.061656    0.061656           0
           2    0.051092    0.056374  0.00373494
           3    0.047756   0.0535013  0.00342073
           4     0.06994    0.057611  0.00438737
           5    0.064536    0.058996  0.00372209
           6    0.058884   0.0589773  0.00310179
           7     0.05116   0.0578606  0.00285264
           8     0.05732    0.057793  0.00249686
           9    0.062718   0.0583402  0.00227861
          10    0.061682   0.0586744  0.00207511
          11    0.060974   0.0588835  0.00189696
          12    0.058566    0.058857  0.00173907
          13    0.056118   0.0586463  0.00161801
          14    0.061206   0.0588291  0.00151273
          15    0.049382   0.0581993  0.00153741
          16    0.060464   0.0583409  0.00144782
          17    0.058796   0.0583676   0.0013629
          18    0.059148    0.058411  0.00128787
          19    0.055818   0.0582745   0.0012273
          20    0.061812   0.0584514  0.00117861
