#   N_BLOCK:  ACCEPTANCE:
           1    0.368372
           2    0.369847
           3     0.36899
           4    0.369411
           5    0.369864
           6    0.370118
           7    0.369947
           8    0.370135
           9    0.370369
          10     0.37019
          11    0.370246
          12    0.370284
          13    0.370255
          14    0.370464
          15    0.370482
          16    0.370545
          17    0.370542
          18    0.370498
          19    0.370543
          20    0.370574
