#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.440605    0.440605           0
           2    0.443355     0.44198 0.000972577
           3    0.439176    0.441045  0.00100135
           4    0.442417    0.441388  0.00080761
           5    0.445752    0.442261  0.00101334
           6    0.439715    0.441837 0.000929101
           7    0.417518    0.438363  0.00331352
           8    0.441941     0.43881  0.00292936
           9    0.443961    0.439382  0.00265921
          10    0.428708    0.438315  0.00259869
          11     0.45427    0.439765  0.00273747
          12    0.417606    0.437919  0.00306966
          13    0.432249    0.437483  0.00286435
          14    0.446522    0.438128  0.00273156
          15    0.427064    0.437391  0.00264718
          16    0.441795    0.437666    0.002496
          17    0.431985    0.437332  0.00237144
          18    0.453123    0.438209  0.00239648
          19     0.43519     0.43805  0.00227561
          20    0.446807    0.438488  0.00220354
