#   N_BLOCK:  ACCEPTANCE:
           1      0.1952
           2    0.195729
           3    0.195236
           4    0.195255
           5    0.195446
           6    0.195259
           7    0.195257
           8    0.195349
           9    0.195418
          10    0.195276
          11    0.195569
          12    0.195305
          13    0.195069
          14    0.195157
          15    0.195156
          16    0.195142
          17    0.195177
          18    0.195258
          19    0.195157
          20    0.195158
