#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.047508    0.047508           0
           2    0.055964    0.051736  0.00298965
           3    0.046178   0.0498833  0.00250214
           4    0.042824   0.0481185  0.00242025
           5    0.045762   0.0476472  0.00198156
           6    0.041258   0.0465823  0.00191618
           7     0.04236   0.0459791  0.00173478
           8    0.055228   0.0471353  0.00186377
           9    0.057962   0.0483382  0.00200772
          10    0.038536    0.047358   0.0020322
          11    0.042026   0.0468733  0.00190438
          12    0.044676   0.0466902  0.00175447
          13    0.051314   0.0470458  0.00165517
          14    0.052238   0.0474167  0.00157794
          15    0.044196    0.047202  0.00148728
          16    0.052742   0.0475483  0.00143407
          17    0.046602   0.0474926  0.00135079
          18    0.054154   0.0478627  0.00132547
          19     0.04698   0.0478162  0.00125652
          20    0.041664   0.0475086  0.00123078
