#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.288095    0.288095           0
           2    0.280527    0.284311  0.00267571
           3    0.281402    0.283341   0.0019517
           4    0.280407    0.282608   0.0015957
           5    0.279111    0.281909  0.00142154
           6    0.277792    0.281223  0.00133998
           7    0.281548    0.281269  0.00114937
           8    0.286921    0.281976  0.00120338
           9    0.286458    0.282474  0.00116818
          10    0.284745    0.282701  0.00107321
          11    0.281533    0.282595 0.000980879
          12    0.281418    0.282496 0.000904025
          13    0.281442    0.282415 0.000838118
          14    0.282583    0.282427 0.000778337
          15    0.278048    0.282135 0.000779271
          16    0.286058    0.282381 0.000768158
          17     0.28214    0.282366 0.000723103
          18    0.281101    0.282296 0.000686338
          19     0.27669    0.282001 0.000710808
          20     0.27679     0.28174 0.000721449
