#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.345587    0.345587           0
           2     0.34208    0.343834  0.00123984
           3    0.338115    0.341928  0.00176222
           4    0.341335    0.341779  0.00132789
           5    0.342049    0.341833  0.00106341
           6     0.35067    0.343306  0.00161025
           7      0.3334    0.341891  0.00190308
           8    0.349428    0.342833  0.00188403
           9    0.343995    0.342962  0.00167911
          10    0.340622    0.342728  0.00152742
          11    0.347268    0.343141  0.00144324
          12    0.328348    0.341908   0.0017729
          13    0.343843    0.342057  0.00164276
          14    0.345765    0.342322  0.00154662
          15     0.34592    0.342562    0.001462
          16    0.342605    0.342564  0.00137062
          17    0.348105     0.34289  0.00132818
          18    0.339978    0.342728  0.00126421
          19    0.346765    0.342941  0.00121539
          20    0.337204    0.342654    0.001188
