#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      3.5516      3.5516           0
           2     3.68272     3.61716   0.0463579
           3     3.67242     3.63558   0.0343707
           4     3.56083     3.61689   0.0304379
           5     3.60538     3.61459   0.0244374
           6     3.57601     3.60816   0.0211936
           7     3.79281     3.63454   0.0304374
           8     3.66872     3.63881    0.026931
           9     3.50594     3.62405   0.0276914
          10     3.43089     3.60473    0.030934
          11     3.48522     3.59387   0.0299693
          12     3.58274     3.59294   0.0274862
          13     3.42256     3.57983   0.0283248
          14     3.56508     3.57878   0.0263212
          15     3.59754     3.58003   0.0245961
          16     3.67879      3.5862   0.0238208
          17     3.75721     3.59626   0.0244514
          18      3.6422     3.59881   0.0232258
          19     3.45343     3.59116   0.0232297
          20     3.43903     3.58356   0.0232803
