#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.069988    0.069988           0
           2    0.078752     0.07437  0.00309854
           3    0.065604    0.071448  0.00315581
           4    0.062636    0.069245  0.00304005
           5     0.06422     0.06824  0.00259285
           6     0.05907   0.0667117  0.00257199
           7    0.069746   0.0671451   0.0022408
           8    0.073592    0.067951  0.00210061
           9    0.074498   0.0686784  0.00198918
          10     0.06002   0.0678126  0.00196971
          11    0.064306   0.0674938  0.00181626
          12    0.065396    0.067319   0.0016733
          13    0.070874   0.0675925  0.00156677
          14    0.079278   0.0684271  0.00166239
          15     0.05732   0.0676867  0.00170854
          16    0.063582   0.0674301   0.0016209
          17     0.05902   0.0669354  0.00159927
          18    0.067052   0.0669419  0.00151043
          19    0.067852   0.0669898  0.00143169
          20    0.067718   0.0670262  0.00136057
