#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.219933    0.219933           0
           2    0.214329    0.217131   0.0019812
           3    0.212907    0.215723  0.00175101
           4    0.209833     0.21425  0.00183051
           5    0.207505    0.212901  0.00189748
           6    0.214877    0.213231  0.00160955
           7    0.211368    0.212965  0.00140144
           8    0.216878    0.213454  0.00130885
           9    0.212364    0.213333  0.00116901
          10    0.214779    0.213477  0.00106102
          11     0.21189    0.213333 0.000974325
          12    0.212064    0.213227 0.000898848
          13    0.211951    0.213129 0.000835051
          14    0.210374    0.212932 0.000798259
          15    0.214285    0.213022 0.000750119
          16    0.212816     0.21301 0.000703347
          17    0.213313    0.213027 0.000662199
          18    0.214766    0.213124 0.000632412
          19    0.214262    0.213184 0.000601958
          20    0.208957    0.212973 0.000607828
