#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.030732    0.030732           0
           2    0.034066    0.032399  0.00117875
           3    0.029938   0.0315787  0.00103255
           4    0.029088    0.030956 0.000943664
           5    0.022288   0.0292224  0.00172459
           6    0.018372    0.027414  0.00218876
           7    0.027848    0.027476  0.00187696
           8    0.035154   0.0284358   0.0018717
           9    0.037798    0.029476  0.00193129
          10     0.03054   0.0295824  0.00174109
          11    0.024704   0.0291389  0.00163832
          12    0.024658   0.0287655  0.00154376
          13     0.03512   0.0292543   0.0015004
          14    0.030656   0.0293544  0.00139657
          15    0.024204   0.0290111  0.00134501
          16    0.036796   0.0294976  0.00134608
          17    0.033002   0.0297038  0.00128259
          18    0.028128   0.0296162  0.00121432
          19     0.02538   0.0293933  0.00117069
          20    0.025684   0.0292078  0.00112675
